Feedback;Comment;Tag 1 (Category);Tag 2 (App);Tag 3 (Device)
Delivery;;Personal Care;SHQ;Konga App
;;Phone and Tablet Accessories;SHQ;Desktop Web
Non;konga serves me better at all time ,honestly they are d best for now.;Kitchen and Dining;SHQ;Desktop Web
None ;Be steadfast as you are;Phone and Tablet Accessories;SHQ;Konga App
Delivery most times. It takes longer time especially when the item is already in Abuja;calling customer when their order is about to be delivered or ;Large Appliances;SHQ;Desktop Web
;;Generators & Power Supplies;SHQ;Mobile Web
;I wish konga can make their delivery affordable by not charging seperate delivery on every item bought more especially when its been ordered by one person at a time.;Mobile Phones;SHQ;Desktop Web
;;Home Furnishings;SHQ;Desktop Web
Delivery;;Large Appliances;SHQ;Mobile Web
My last transaction with konga was very annoying and I'm disappointed. .konga is not what I used to know. ..they now patronize substandard products from unrecognized third parties. ..;My last transaction with konga was very annoying and I'm disappointed. .konga is not what I used to know. ..they now patronize substandard products from unrecognized third parties. ..I will never deall with konga in life again unelse I get a redress for the substandard product delivered to me recently;DVD Players;SHQ;Konga App
Only when I was Informed to come and pick up my item and I started wondering why I paid for shipping.;ok for now;Musical Equipment;SHQ;Konga App
none;;Large Appliances;KWK;Desktop Web
A mistake was made with the delivery address after payment was completed through Kongapay and Konga was informed immediately, it was concluded by Konga that it would be rectified by a re-order and a change of address made. This was done at all, after finally waiting for the orders, it was sent to d wrong address. Bad experience with customer support!;;Kitchen and Dining;SHQ;Desktop Web
Shipping takes more days than that experienced from other online stores;Improve shipping time from 1-15 days to 1-7 days. Thank you. ;Watches;SHQ;Konga App
My first order.;Konga is doing quiet well. There is need to improve on shipping fee and delivery time. Thanks.;Tablets;SHQ;Konga App
Not at all ;For  me Konga has made shopping easy,  timely and convenient for me. ;Mobile Phones;KWK;Mobile Web
Delivery period;KONGA shd try and improve on the delivery period to customer;Mobile Phones;SHQ;Mobile Web
Before delivery. I had to call in severally for updates;Ur products are of good quality but rather expensive compared to the open market.;Women's Wear;SHQ;Mobile Web
;;Mobile Phones;KWK & SHQ;Desktop Web
None;I enjoy patronizing konga  I never had any regrets   Thanks to you guyz.   Kudos ;Mobile Phones;KWK;Desktop Web
Buying more than one product at a time, u still  charge shipping fee on each product despite its the same person and at the same time;If someone is buying more than a product at a time,  even if you are going to charge for shipping it should be at a discount rate. ;Large Appliances;SHQ;Mobile Web
;;Hair Centre;SHQ;Desktop Web
When to deliver but couldn't see order coming ;Faster delivery could help a lot ;Musical Equipment;SHQ;Desktop Web
When i purchase 3 in 1 blender, oven and kettle where the blender was not what was displayed,  couldnt use more than once before spoiling ,  calling customer care with little response. ;If purchasing more product it can be collectively charged or reduce the charges instead of charging each item seperately bcuz this has discourage me from buying alot of things from konga coupled with my blender experience if not now that i decided to buy my elliptical from konga and i hope i wont experience the same thing over again.  Thanks;Fitness;SHQ;Desktop Web
Having to call to know when order will arrive.;;Home Furnishings;SHQ;Desktop Web
;;Housekeeping & Pet Supplies;SHQ;Desktop Web
None;;Laptops;KWK;Konga App
Coupon transaction ;Good online dealer but kindly work on d coupon so as to combine it on one transaction ;Men's Shoes;KWK & SHQ;Desktop Web
Not at all;I have bought good on several occasions from konga,but I really enjoyed the last transaction and the delivery guy was nice;Men's Shoes;SHQ;Desktop Web
;;Fragrances;SHQ;Mobile Web
No;Happy to use konga website;Games and Consoles;SHQ;Konga App
delivery;;Laptops;KWK;Konga App
;;Men's Accessories;SHQ;Konga App
Recently when I ordered for for an HP laptop I called severally for my order to be delivered to no avail, even when it came to their distribution  center, uptill now I have not gotten my order. ;I suggest you amend your delivery lapses especially the one in on its hard, is very poor and the customer support is not impressive. ;Televisions;KWK;Mobile Web
Nill;Well-done ;Phone and Tablet Accessories;SHQ;Desktop Web
Having to make an of more than one items n can't take one or few out but must take all order or reject all order. That is a very wrong market strategy ;When products are seen online it might not be what one has in mind in the physical n so making choice will now be dat one has to go back and reorder not nice at all ;Women's Wear;SHQ;Mobile Web
When a dollar price is down yet product price is still very high   I need quality affordable prices ;Stop posting adds that you no longer have in Stock ;Sunglasses;SHQ;Konga App
The delivery;There needs to be better connect between konga and its vendors;Men's Wear;SHQ;Desktop Web
I was very disappointed that my offer 2k4u was not deducted from my overall balance and I had to pay the full on line cost without the discount. Please rectify this at your earliest.   Thanks from a loyal customer. ;PLEASE DEDUCT DISCOUNTED OFFERS FROM PAYMENTS, WHEN YOU GIVE ONE!;Large Appliances;KWK & SHQ;Konga App
;;Mobile Phones;SHQ;Konga App
Konga representative has not to been able to remit my balance payment for the past 4 days after delivery was made.;;Mobile Phones;KWK;Desktop Web
No experience on that;Make search Botton more flexible. ;Valentine Shop;SHQ;Desktop Web
;I want to you are o keep understand yo;Laptops;KWK;Konga App
nil;i think it will be nice to call the customer first thing in the morning of delivery that his/her items are coming so that the customer can make preparations as to receiving the items instead of calling a few mins to arrival....  ;Mobile Phones;SHQ;Konga App
yes;The shipping fee is too much and the delivery speed is slow;Phone and Tablet Accessories;SHQ;Mobile Web
ordering for the product on the website because of this I had Google customer support no. to make d order meanwhile I would have gotten this directly & and easily from the website or app.;I discovered that the Konga keeps crashing even after uninstalling and reinstalling a fresh one please do look at it and address the issue. thank you. Another thing I would like to comment aside the delivery fair is the "time of wait" of 7 days especially if the dealers are within the country pls at least 5-6 days max. To this effect customers too who need their good(s) urgently would also like to know if there is express even before they ask whether or not it may attract extra cost some would not mind. all right thank you. that was a lot I spend time 2 write dis bcos I believe in Nigeria so I believe in Konga.;Mobile Phones;SHQ;Desktop Web
"Error messages when I tried to click the payment page; I had to speak with 4 customer service agents and only 1 of them called me back.";All products should have more info and pictures. Dresses and fashion items should have the zoom feature, pictures showing a front , back and side view will be great.;Women's Wear;SHQ;Desktop Web
